original,primary,status
clayton williams energy inc,clayton williams,curated
$clayton williams energy, inc.$,clayton williams,curated
clean chemistry,clean chemistry,curated
$clear fork, inc.$,clear fork,curated
clear water,clearwater,curated
$clear water, inc.$,clearwater,curated
clearon corp,clearon corp,curated
clearpoint,clearpoint,curated
clearpoint chemicals,clearpoint,curated
clearpoint chemicals llc,clearpoint,curated
$clearpoint chemicals, llc$,clearpoint,curated
clearwat er,clearwater,curated
$clearwat er internati onal, llc$,clearwater,curated
$clearwat er internatio nal, llc$,clearwater,curated
clearwate r,clearwater,curated
clearwate r clearwate r,clearwater,curated
clearwater,clearwater,curated
clearwater engineered chemistry,clearwater,curated
clearwater int.,clearwater,curated
clearwater international,clearwater,curated
clearwater international l.l.c.,clearwater,curated
clearwater international llc,clearwater,curated
$clearwater international, llc$,clearwater,curated
$clearwater intl, llc$,clearwater,curated
clearwater speciality chemical co.,clearwater,curated
clearwater specialty chemical,clearwater,curated
clearwater/ weatherfor d chemical,clearwater,curated
clearwater/ weatherford chemical,clearwater,curated
clements,clements,curated
clements fluid,clements,curated
clemplex,chemplex,curated
client,client,curated
clordisys solutions,clordisys solutions,curated
$cml exploration, llc$,cml exploration,curated
cnf,cnf,curated
cnr,cnr,curated
cnx,cnx,curated
cnx gas company,cnx,curated
cnx gas company llc,cnx,curated
cnx resources,cnx,curated
coachman energy / cynosure energy,coachman energy / cynosure energy,curated
coast 2 coast,coast 2 coast,curated
coast2coast,coast 2 coast,curated
coastal chemical co llc,coastal chemical co,curated
cobra,cobra oil & gas,curated
cobra og,cobra oil & gas,curated
cobra oil & gas,cobra oil & gas,curated
cobra oil & gas corp,cobra oil & gas,curated
cobra oil & gas corporation,cobra oil & gas,curated
cobra oil &amp; gas corporation,cobra oil & gas,curated
cochran chemical,cochran chemical,curated
cocnho,cocnho,curated
cocoamido tertiary amine,not a company,curated
cog,cog operating,curated
cog operating,cog operating,curated
cog operating llc,cog operating,curated
coil chem,coil chem,curated
coil chem llc,coil chem,curated
coilchem,coil chem,curated
$coilchem, llc$,coil chem,curated
$colgate operating, llc$,colgate operating,curated
colorado sand company,colorado sand company,curated
colossal chemical,colossal chemical,curated
colossal chemicals,colossal chemical,curated
columbus chemical industries,columbus chemical industries,curated
$columbus chemical industries, inc.$,columbus chemical industries,curated
$comanche exploration co., llc$,comanche,curated
$comanche exploration co., llc.$,comanche,curated
comanche exploration-ok city,comanche,curated
$comanche resources co, llc$,comanche,curated
comanche resources company,comanche,curated
company,company supplied,curated
company 1,company supplied,curated
company 2,company supplied,curated
company 3,company supplied,curated
company i,company supplied,curated
company supplied,company supplied,curated
company u s a,ambiguous,curated
company1,company supplied,curated
compass,compass,curated
compass chemical,compass,curated
$compass energy operating, llc$,compass,curated
compass fracturing,compass,curated
compass well services llc,compass,curated
competion specialties,ambiguous,curated
complete energy,complete energy,curated
complete energy services,complete energy,curated
$complete energy services, inc$,complete energy,curated
completio n and productio n services,ambiguous,curated
completion & production services co,ambiguous,curated
completion & production services co.,ambiguous,curated
completion and production services,ambiguous,curated
completion specialities,ambiguous,curated
completion specialties,ambiguous,curated
completion specialties llc,ambiguous,curated
$completion specialties, llc$,ambiguous,curated
completion specialty,ambiguous,curated
complex,complex,curated
comstock,comstock,curated
comstock oil & gas,comstock,curated
comstock oil &amp; gas,comstock,curated
comstock resouces,comstock,curated
comstock resources,comstock,curated
comstock resources-dallas,comstock,curated
comstock resources-frisco,comstock,curated
concentrate,not a company,curated
conchem ltd,conchem,curated
concho,concho,curated
concho oil & gas,concho,curated
concho res,concho,curated
concho resources,concho,curated
condor energy technology llc,condor energy technology,curated
confluence dj llc,confluence dj,curated
conlen surfactant technology (cst),cst,curated
$connell bros. company, ltd$,connell brothers,curated
connell brothers,connell brothers,curated
conoco,conoco phillips,curated
conoco phillips,conoco phillips,curated
conoco phillips co,conoco phillips,curated
conocophilli ps,conoco phillips,curated
conocophillip,conoco phillips,curated
conocophillip s,conoco phillips,curated
conocophillips,conoco phillips,curated
$conocophillips alaska, inc.$,conoco phillips,curated
conocophillips company,conoco phillips,curated
conocophillips company/burlington resources,conoco phillips,curated
consol,consol,curated
consol energy,consol,curated
consol energy inc.,consol,curated
consolidated,consolidated,curated
consolidated chemical,consolidated,curated
$consolidated oil well serivces, llc$,consolidated,curated
consolidated oil well services,consolidated,curated
consolidated oil well services llc,consolidated,curated
$consolidated oil well services, inc.$,consolidated,curated
$consolidated oil well services, llc$,consolidated,curated
$consolidated oil wells services, llc$,consolidated,curated
consolidated oilwell,consolidated,curated
$contact:  archer pressure pumping, 2501 e. murphy,$,archer,curated
$contact:  multi-chem group llc, 2905 southwest blv$,multi-chem,curated
$contact:  universal, 6 desta drive, ste. 4400, mid$,universal,curated
$contango resources, inc.$,contango resources,curated
continental,continental,curated
continental exploration,continental,curated
continental exploration llc,continental,curated
continental resources,continental,curated
continental resources inc,continental,curated
$continental resources, inc$,continental,curated
cook inlet energy,cook inlet energy,curated
cooper,cooper,curated
cooper natural,cooper,curated
cooper natural reaources,cooper,curated
cooper natural resources,cooper,curated
$cooper oil & gas, llc$,cooper,curated
cop,cop,curated
copestone operating llc,copestone operating,curated
corda corporation,corda corporation,curated
core lab,core labs,curated
core labs,core labs,curated
corelab,core labs,curated
corinthian exploration (usa) corp.,corinthian exploration,curated
corlena,corlena,curated
corlena oil company,corlena,curated
cornerstone,cornerstone,curated
cornerstone natural resources,cornerstone,curated
cornerstone natural resources llc,cornerstone,curated
$cornerstone petroleum operating, llc$,cornerstone,curated
corp,ambiguous,curated
corporation,ambiguous,curated
corrosion inhibitor,not a company,curated
corsitech,corsitech,curated
$corterra energy operating, llc$,corterra energy operating,curated
corvia,corvia,curated
cos,cos,curated
$costa energy, llc$,costa energy,curated
cottonmouth swd llc,cottonmouth swd,curated
council oak resources,council oak resources,curated
$courson oil & gas, inc.$,courson oil and gas,curated
courson oil and gas,courson oil and gas,curated
$covenant operating, llc$,covenant operating,curated
covey park energy,covey park,curated
covey park gas,covey park,curated
$covey park operating, llc$,covey park,curated
$covey park resources, llc$,covey park,curated
covia,covia,curated
covia corporation,covia,curated
covie holdings corporation,covie holdings corporation,curated
covington oil,covington oil,curated
$covington oil co., inc.$,covington oil,curated
cows,cows,curated
cp exploration,cp exploration,curated
cpnsolidated,consolidated,curated
cpws,cpws,curated
cr3 operating company llc,cr3 operating company,curated
craig elder,craig elder,curated
$craig elder oil and gas, l.l.c.$,craig elder,curated
craton alpha llc,craton alpha,curated
crawley petroleum,crawley petroleum,curated
$crd operating, llc$,crd operating,curated
crecent point,crescent point,curated
crescent,crescent point,curated
$crescent pass energy, llc$,crescent pass energy,curated
crescent point,crescent point,curated
crescent point energy,crescent point,curated
crescent point energy us corp,crescent point,curated
cressent,crescent point,curated
$crest resources, inc.$,crest resources,curated
crestone peak resources,crestone peak resources,curated
crg,crg,curated
cri,cri,curated
crimson,crimson,curated
$crimson energy partners iii, llc$,crimson,curated
$crimson energy partners iv, llc$,crimson,curated
crimson exploration oper. inc.,crimson,curated
$crimson exploration operating, inc.$,crimson,curated
crimson resource management,crimson,curated
criswell energy,criswell energy,curated
$criswell energy, llc$,criswell energy,curated
$crockett operating, llc$,crockett operating,curated
crose oil company,crose oil company,curated
cross creek energy llc,cross creek energy,curated
cross timbers,cross timbers,curated
$cross timbers energy, llc$,cross timbers,curated
crosslink ers and delayers,not a company,curated
crosslinker,not a company,curated
$crow creek operating co. iii, llc$,crow creek operating,curated
$crowheart energy, llc$,crowheart energy,curated
crown consulting,crown,curated
crown energy,crown,curated
crown energy co-oklahoma city,crown,curated
crown energy company,crown,curated
crown equipment co.,crown,curated
crown technology,crown,curated
crownquest,crownquest,curated
crownquest operating,crownquest,curated
$crownquest operating, llc$,crownquest,curated
$crownquest operting, llc$,crownquest,curated
crs,crs,curated
crs proppants,crs,curated
crs proppants llc,crs,curated
crs/uiniman,uiniman,curated
crs/uniman,uniman,curated
crudechem,crudechem,curated
crystalline slilica: cristobalite,not a company,curated
crystalline slilica: quartz (sio2),not a company,curated
csp,csp,curated
cst,cst,curated
cst performance products corp.,cst,curated
cti,cti,curated
$cub creek energy, llc$,cub creek energy,curated
cudd,cudd,curated
cudd  energy services,cudd,curated
cudd cudd,cudd,curated
cudd energy,cudd,curated
cudd energy service,cudd,curated
cudd energy services,cudd,curated
cudd pumping services,cudd,curated
cudd pumping svcs,cudd,curated
cummings oil,cummings oil,curated
cummings oil company,cummings oil,curated
curl creek enterprises,curl creek enterprises,curated
custer & wright,custer & wright,curated
$custer & wright operating, inc$,custer & wright,curated
customer,customer,curated
customer & cws,customer,curated
customer &amp; cws,customer,curated
customer 1,customer,curated
customer and  cws,customer,curated
customer and cws,customer,curated
customer hired truck,customer,curated
customer name here,customer,curated
customer s.,customer,curated
customer service,customer,curated
customer supplied,customer,curated
customer supplier,customer,curated
customer supplies,customer,curated
customer's,customer,curated
customers,customer,curated
cutomer,customer,curated
$cw resources, inc.$,cw resources,curated
cwc,cwc,curated
cws,cws,curated
cws & gec,cws,curated
$cws, baker hughes$,baker,curated
cyclohexene,not a company,curated
$cypress operating, inc.$,cypress operating,curated
d  b operating,d  b operating,curated
$d.j.f. services, inc.$,d.j.f. services,curated
d&b operating llc,d&b operating,curated
$d&j oil co., inc$,d&j oil,curated
d&j oil-enid,d&j oil,curated
d1210017,ambiguous,curated
dadger minin,badger,curated
dakota,dakota,curated
dakota chemical,dakota,curated
dakota chemicals,dakota,curated
dakota distributing,dakota,curated
dakota distrubting,dakota,curated
$dakota resources, inc.$,dakota,curated
dale's tank truck,dales,curated
dale's tank trucks,dales,curated
dales,dales,curated
dales tank,dales,curated
dales tank service,dales,curated
dales tank truck,dales,curated
dales tank trucks,dales,curated
$dallas petroleum group, llc$,dallas,curated
dallas production,dallas,curated
$dallas production, inc$,dallas,curated
danick operating usa,danick operating usa,curated
danlin,danlin,curated
danlin ind.,danlin,curated
danlin industrie,danlin,curated
danlin industries,danlin,curated
danmark energy lp,danmark energy,curated
$dash operating, llc$,dash operating,curated
$dave holke consulting, inc.$,dave holke consulting,curated
davidson energy,davidson,curated
davidson energy corp,davidson,curated
$davidson energy, inc.$,davidson,curated
davis,davis,curated
daylight petroleum,daylight petroleum,curated
daylight petroleum llc,daylight petroleum,curated
dazomet,dazomet,curated
dba national petrochem,national petrochem,curated
dc energy,dc energy,curated
dcs,dcs,curated
de nora water technologies texas,de nora water technologies,curated
de operating llc,de operating,curated
de3 operating llc,de3 operating,curated
dejour energy (usa) corp.,dejour energy,curated
delco oilfied services,delco oilfied services,curated
delco oilfield sercive company,delco oilfied services,curated
delco oilfield service company,delco oilfield service company,curated
$delta co2, llc$,delta,curated
delta oil & gas,delta,curated
delta oil & gas ltd.,delta,curated
delta oil &amp; gas ltd.,delta,curated
delta oil and g,delta,curated
delta oil and gas,delta,curated
demco oil and gas company,demco oil and gas company,curated
demulsifier,not a company,curated
denali oil & gas management,denali oil & gas management,curated
$denbury onshore, llc$,denbury onshore,curated
derby exploration,derby exploration,curated
desi,desi,curated
devon,devon,curated
devon (rockies-permian),devon,curated
devon energy,devon,curated
devon energy corp (okc),devon,curated
devon energy corp-brid geport,devon,curated
devon energy corp-bridgeport,devon,curated
devon energy corp-okla homa city,devon,curated
devon energy corp-oklahoma city,devon,curated
devon energy corp.,devon,curated
devon energy corporation,devon,curated
devon energy production co,devon,curated
$devon energy production co., l.p.$,devon,curated
devon energy production company l. p.,devon,curated
dewbre petroleum corporation,dewbre petroleum corporation,curated
$dexxon, inc.$,dexxon,curated
dft,dft,curated
dgp energy,dgp energy,curated
$dgp energy, llc$,dgp energy,curated
dgs,dgs,curated
di silica,di silica,curated
diagnostics,ambiguous,curated
diammonium peroxidisulph ate,not a company,curated
$diamond production co., llc$,diamond production,curated
diamondbac k e&p llc,diamondback,curated
diamondback,diamondback,curated
diamondback e&amp;p llc,diamondback,curated
diamondback e&p llc,diamondback,curated
diamondback e&p; llc,diamondback,curated
diamondback energy,diamondback,curated
diamondback ep,diamondback,curated
diamondback ep llc,diamondback,curated
$diamondback resources,llc$,diamondback,curated
$diatomaceou s earth, calcined$,not a company,curated
dick lindsay oil co,dick lindsay oil co,curated
$dick lindsay oil co., inc.$,dick lindsay oil co,curated
didecyl dimethyl ammonium chloride,not a company,curated
dillman services inc,dillman services,curated
dimethyl amino ethyl acrylate methyl chloride,not a company,curated
dinero operating,dinero operating,curated
dionix,dionix,curated
dionix water treatment solutions,dionix,curated
dirk thomas,dirk thomas solutions,curated
dirk thomas solutions,dirk thomas solutions,curated
$dirk thomas solutions, llc$,dirk thomas solutions,curated
$dirnett, inc.$,dirnett.,curated
discovery natural resources llc,discovery,curated
discovery oil & gas,discovery,curated
$discovery oil and gas, llc$,discovery,curated
$discovery operating, inc.$,discovery,curated
$distillates (petroleum), hydrotreated light$,not a company,curated
diversified production llc,diversified,curated
diversified resources inc,diversified,curated
diverter,diverter plus,curated
diverter +,diverter plus,curated
diverter + llc,diverter plus,curated
diverter plus,diverter plus,curated
diverter plus 1327,diverter plus,curated
diverter plus llc,diverter plus,curated
$diverter plus, llc$,diverter plus,curated
diverter+,diverter plus,curated
diverterplus,diverter plus,curated
diverterplus 1375,diverter plus,curated
diverterplus llc,diverter plus,curated
$diverterplus, llc$,diverter plus,curated
diverters plus,diverter plus,curated
$divertplus, llc$,diverter plus,curated
dj oil,dj oil,curated
$djr operating, llc$,djr operating,curated
dominion energy,dominion,curated
$dominion natural resources, llc$,dominion,curated
donco,donco,curated
donco oilfield,donco,curated
donco oilfield sercvices,donco,curated
donco oilfield service,donco,curated
donco oilfield service company,donco,curated
donco oilfield services,donco,curated
donco oilfield sevice company,donco,curated
donco oilfield sevices,donco,curated
donoco oilfield service company,donco,curated
donray petroleum,donray petroleum,curated
donray petroleum llc.,donray petroleum,curated
dorado,dorado,curated
dorado e&p partners,dorado,curated
$dorado e&p partners, llc$,dorado,curated
$dore energy co., ltd.$,dore energy,curated
double eagle operating,double eagle operating,curated
douglas allen,douglas allen,curated
$douglas q. jones, llc$,douglas q. jones,curated
dove oil corporation,dove oil corporation,curated
dover,dover,curated
dow,dow,curated
dow chemical,dow,curated
dow chemical company,dow,curated
dow chemicals,dow,curated
dow microbial,dow,curated
down hole chemical solutions,downhole chemical solutions,curated
downhole chemical solution,downhole chemical solutions,curated
$downhole chemical solution, llc$,downhole chemical solutions,curated
downhole chemical solutions,downhole chemical solutions,curated
downhole chemical solutions l.l.c.,downhole chemical solutions,curated
downhole chemical solutions llc,downhole chemical solutions,curated
$downhole chemical solutions, llc$,downhole chemical solutions,curated
downhole chemical soultions,downhole chemical solutions,curated
downhole chemicals solutions,downhole chemical solutions,curated
dpc,dpc,curated
dpc industries,dpc,curated
dpc industries inc,dpc,curated
dpc industries llc,dpc,curated
$draco energy, inc.$,draco energy,curated
dragon oil & gas llc,dragon oil & gas,curated
dri,dri,curated
$driftwood energy operating, llc$,driftwood energy operating,curated
drilling fluid technologies,drilling fluid technology,curated
drilling fluid technology,drilling fluid technology,curated
drilling fluids,drilling fluid technology,curated
drilling fluids tech,drilling fluid technology,curated
drilling fluids tech.,drilling fluid technology,curated
drilling fluids technolo gy,drilling fluid technology,curated
drilling fluids technologies,drilling fluid technology,curated
drilling fluids technology,drilling fluid technology,curated
$dte gas resources, llc$,dte gas resources,curated
du pont,du pont,curated
dugan production,dugan production,curated
dugan production corp.,dugan production,curated
$duke gas company, llc$,duke gas company,curated
duncan oil,duncan oil,curated
duncan oil properties,duncan oil,curated
$duncan oil properties, inc$,duncan oil,curated
dupont,du pont,curated
durachem,durachem,curated
durachem production services,durachem,curated
durachem production services us,durachem,curated
durachem services,durachem,curated
dx/dpc,dx/dpc,curated
dyad,dyad,curated
dyad petroleum company,dyad,curated
dynachem,dynachem,curated
dynachem usa,dynachem,curated
$dynachem usa, llc$,dynachem,curated
dynamic green solutions,dynamic green solutions,curated
e,ambiguous,curated
$e. n. patton oil company, inc.$,e. n. patton oil company,curated
$e.g.l. resources, inc.$,e.g.l. resources,curated
e2 operating llc,e2 operating,curated
eagle,eagle,curated
eagle energy acquisitions lp,eagle,curated
eagle exploration,eagle,curated
$eagle exploration production, llc$,eagle,curated
eagle hydrocarbons inc.,eagle,curated
eagle oil & gas co.,eagle,curated
eagle ridge operating,eagleridge,curated
eagle road oil,eagle road oil,curated
eagle road oil llc,eagle road oil,curated
$eagle rock mid-continent operating, llc$,eagle rock,curated
$eagle rock operating company, llc$,eagle rock,curated
eagleridge energy,eagleridge,curated
$eagleridge energy, llc$,eagleridge,curated
eagleridge operating,eagleridge,curated
eap ohio llc,eap ohio,curated
earlsboro energies corp.,earlsboro energies,curated
earthstone,earthstone,curated
$earthstone operating, llc$,earthstone,curated
$east cheyenne gas storage, llc$,east cheyenne gas storage,curated
east texas oilfield supply co,east texas oilfield supply co,curated
$eastco operating, llc$,eastco operating,curated
eastman,eastman,curated
eca,eca,curated
eca pumpco pumpco pumpco pumpco pumpco pumpco pump,eca,curated
echo e&p llc,echo,curated
$echo production, inc.$,echo,curated
eclipse resources,eclipse resources,curated
$eclipse resources i, lp$,eclipse resources,curated
ecm,ecm,curated
ecm supply,ecm,curated
ecnomy polymers,economy,curated
ecomomy,economy,curated
ecomony polymers,economy,curated
ecomony polymers and chemicals,economy,curated
econo polymers,economy,curated
econo-b64 8l,not a company,curated
econo-b648,not a company,curated
econo-b648l        biocide,not a company,curated
economy,economy,curated
economy ploymers,economy,curated
economy polymer,economy,curated
economy polymer & chemicals,economy,curated
economy polymer and chemicals,economy,curated
economy polymers,economy,curated
economy polymers /,economy,curated
economy polymers / weatherford,economy,curated
economy polymers &,economy,curated
economy polymers & chemicals,economy,curated
economy polymers and chemicals,economy,curated
economy polymers and chemiclas,economy,curated
economy polymers chemicals,economy,curated
economy polymers/we atherford,economy,curated
economy polymers/weatherford,economy,curated
economy poymers,economy,curated
econony polymers & chemicals,economy,curated
econoprop,econoprop,curated
ecopol -,not a company,curated
ecopol-,not a company,curated
ecopol-2000lms  liquid gellant     petroleum dista,not a company,curated
ecopol-ec200   crosslinker,not a company,curated
ecopol-ec200 / crosslinker,not a company,curated
ecopol-ec200/crosslinker,not a company,curated
ecorene 40 series,not a company,curated
ecosphere,ecosphere,curated
ecostim,ecostim,curated
edeavor energy,endeavor energy,curated
$edf trading resources, llc$,edf trading resources,curated
edge barnett operating company llc,edge barnett operating company,curated
edge energy ii llc,edge energy,curated
$edge energy, llc$,edge energy,curated
edgemarc,edgemarc,curated
edgemarc energy,edgemarc,curated
$edgemarc energy holdings, llc$,edgemarc,curated
edmar,edmar,curated
ee3,ee3,curated
ee3 llc,ee3,curated
$eec, inc.$,eec,curated
ees,ees,curated
ef energy,ef energy,curated
$ef energy, llc$,ef energy,curated
efos polymers llc,efos polymers,curated
el paso e&amp;p company,el paso e&p company,curated
el paso e&p company,el paso e&p company,curated
el paso e&p; company,el paso e&p company,curated
el paso production co-houston,el paso e&p company,curated
el toro resources,el toro resources,curated
el toro resources llc,el toro resources,curated
element,element,curated
$element petro operating ii, llc$,element,curated
element petroleum,element,curated
element petroleum iii,element,curated
$element petroleum op iii,llc$,element,curated
element petroleum operating,element,curated
element petroleum operating iii llc,element,curated
element petroleum operating llc,element,curated
element petroleum operating llc.,element,curated
$element petroleum operating, llc$,element,curated
element petroleum operating. llc,element,curated
$eleon operators, llc.$,eleon operators,curated
elephant oil & gas,elephant oil & gas,curated
elephant oil and gas,elephant oil & gas,curated
elevation  resources,elevation resources,curated
elevation resoiurces,elevation resources,curated
elevation resources,elevation resources,curated
elevation resources llc,elevation resources,curated
$elevation resources, llc$,elevation resources,curated
elims,elims,curated
elite,elite,curated
elite well service,elite,curated
elite well services,elite,curated
elk meadow,elk meadows,curated
elk meadows,elk meadows,curated
elk meadows resources,elk meadows,curated
$elk meadows resources, llc$,elk meadows,curated
elk petroleum,elk petroleum,curated
$elk river resouces, llc.$,elk river,curated
elk river resources,elk river,curated
$elk river resources, llc$,elk river,curated
$ellis exploration, inc.$,ellis exploration,curated
elm ridge exploration co llc,elm ridge exploration co,curated
els,els,curated
emc,emc,curated
emerald,emerald,curated
emerald oil,emerald,curated
emerald oil inc,emerald,curated
emerald oil llc,emerald,curated
emerald performance materials,emerald,curated
emerald surf sciences,emerald,curated
empresa energy llc,empresa,curated
$empresa operating, llc$,empresa,curated
encan,encan,curated
encana,encana,curated
encana - onsite groundwater well,encana,curated
encana & cws,encana,curated
encana energy,encana,curated
encana oil & gas (usa) inc.,encana,curated
encana oil &amp; gas (usa) inc.,encana,curated
encana oil and gas,encana,curated
encana*,encana,curated
encana/3rd party/private,encana,curated
encana/a&w water service inc,encana,curated
encana/third party/private,encana,curated
encino,encino,curated
encino energy,encino,curated
encore,encore,curated
$encore permian operating, llc$,encore,curated
endeaver energy resources,endeavor,curated
endeavoe energy,endeavor,curated
endeavor,endeavor,curated
endeavor energy,endeavor,curated
endeavor energy rersources,endeavor,curated
endeavor energy res,endeavor,curated
endeavor energy resource,endeavor,curated
endeavor energy resources,endeavor,curated
$endeavor energy resources, lp$,endeavor,curated
endeavor energy services,endeavor,curated
endeavor natural gas,endeavor,curated
$endeavor natural gas, lp$,endeavor,curated
endeavour,endeavor,curated
endeavour operating corp,endeavor,curated
endeavour operating corporation,endeavor,curated
endura,endura,curated
endura product,endura,curated
endura products,endura,curated
endura products corp,endura,curated
endura products corp.,endura,curated
endura products mfg,endura,curated
endurance,endurance,curated
endurance resources llc,endurance,curated
enduring resources,enduring resources,curated
enduring resources llc,enduring resources,curated
$enduring resources, inc.$,enduring resources,curated
$enduring resources, llc$,enduring resources,curated
enduro operating ii llc,enduro,curated
enduro operating llc,enduro,curated
enduro tech,enduro,curated
energen,energen,curated
energen resources,energen,curated
energen resources corp,energen,curated
energen resources corporation,energen,curated
energy,ambiguous,curated
energy  environmental services,energy & enviromental services,curated
energy - environmental services,energy & enviromental services,curated
energy & enviromental services,energy & enviromental services,curated
energy & environme ntal services,energy & enviromental services,curated
energy & environment al services,energy & enviromental services,curated
energy & environmental services,energy & enviromental services,curated
$energy & exploration partners operating, lp$,energy & exploration partners operating lp,curated
energy and environmental services,energy & enviromental services,curated
energy and environmental services inc,energy & enviromental services,curated
energy corporation of america,energy corporation of america,curated
energy environmental,energy & enviromental services,curated
$energy hunter resources, inc.$,energy hunter resources,curated
energy management co.,energy management,curated
energy products,energy products,curated
energy products inc,energy products,curated
$energy products, inc.$,energy products,curated
energy services,energy & enviromental services,curated
energyflo chemical applications,energyflo chemical applications,curated
$energyquest ii, llc$,energyquest,curated
enerplus resources (usa) corporation,enerplus resources (usa) corporation,curated
enerquest oil & gas,enerquest,curated
enerquest operating l.l.c.,enerquest,curated
enervest,enervest,curated
enervest ltd,enervest,curated
enervest operating,enervest,curated
enervest operating llc,enervest,curated
$enervest operating, llc$,enervest,curated
$enervest operating, llc.$,enervest,curated
$enervest, ltd.$,enervest,curated
$enexco, inc.$,enexco,curated
enexp,enexp,curated
ensign operating llc,ensign,curated
ensign well services inc,ensign,curated
entek grb llc,entek grb,curated
enterprise,enterprise,curated
enterprise energy exploration inc.,enterprise,curated
enterprise products,enterprise,curated
enterprise products operating llc,enterprise,curated
$enterprise, shoup plant$,enterprise,curated
enviro energy solutions,enviro energy solutions,curated
enviro tech,enviro tech,curated
enviro tech chemical,enviro tech,curated
enviro tech chemical services,enviro tech,curated
enviro tech chemical services inc,enviro tech,curated
$enviro tech chemical services, inc$,enviro tech,curated
$enviro tech chemical services, inc.$,enviro tech,curated
enviro tech chemicals,enviro tech,curated
$enviro tech chemicals services, inc$,enviro tech,curated
enviroenergy solutions,enviro energy solutions,curated
enviromental energy service,energy & enviromental services,curated
environment al energy service,energy & enviromental services,curated
environment al energy services,energy & enviromental services,curated
environmental energy service,energy & enviromental services,curated
environmental energy services,energy & enviromental services,curated
environmental plus,environmental plus,curated
envirotech,enviro tech,curated
eog,eog,curated
$eog resources, inc$,eog,curated
$eog resources, inc.$,eog,curated
eom,eom,curated
ep energy,ep energy,curated
ep energy  (usa),ep energy,curated
ep energy e&p-houston,ep energy,curated
epi,epi,curated
epic ceramics,epic ceramics,curated
epichlorohyd rin,not a company,curated
eqt,eqt,curated
eqt production,eqt,curated
equinor,equinor,curated
equinor energy lp,equinor,curated
equinor texas onshore properties llc,equinor,curated
equinor usa onshore properties inc.,equinor,curated
er operating company,er operating company,curated
ergon exploration,ergon exploration,curated
erna,erna,curated
escondido resources,escondido resources,curated
$escondido resources ii, llc$,escondido resources,curated
escondido resources oper co,escondido resources,curated
escondido rsources,escondido resources,curated
escudero,escudero,curated
escudero chemicals llc,escudero,curated
$escudero chemicals, llc$,escudero,curated
$escudero, inc.$,escudero,curated
esp,esp,curated
esp petrochem,esp,curated
esp petrochemic,esp,curated
esp petrochemic al,esp,curated
esp petrochemic als,esp,curated
$esp petrochemic als, inc.$,esp,curated
esp petrochemical,esp,curated
esp petrochemicals inc.,esp,curated
$estancia oil & gas, llc$,estancia oil & gas,curated
$ethane-1,2-di ol$,not a company,curated
ethanol,not a company,curated
ethox,not a company,curated
ethoxylated alcohol,not a company,curated
ethoxylated alcohol blend,not a company,curated
ethoxylated alcohol linear,not a company,curated
ethoxylated alcohol linear 1,not a company,curated
ethoxylated alcohol linear 2,not a company,curated
ethoxylated nonyphenol,not a company,curated
ethylene glycol,not a company,curated
evergreen natural resources,evergreen,curated
evergreen natural resources llc,evergreen,curated
evertson operating company,evertson operating company,curated
evironmental energy service,evironmental energy service,curated
evolution,evolution,curated
evolution well services,evolution,curated
evonik treibacher,evonik treibacher,curated
$ew energy operator, llc$,ew energy operator,curated
$excalibur exploration, inc.$,excalibur,curated
excalibur reserouces,excalibur,curated
excalibur resources llc,excalibur,curated
excel stim,excel stimulation,curated
excel stimulation,excel stimulation,curated
$excel stimulation, llc$,excel stimulation,curated
exco,exco,curated
exco  resources,exco,curated
exco resources,exco,curated
$exco resources, inc.$,exco,curated
$exco/hgi jv assets, llc$,exco,curated
$exl petroleum, lp$,exl petroleum lp,curated
$extech operating, llc$,extech operating,curated
extex operating company,extex operating company,curated
extraction oil & gas llc,extraction oil & gas,curated
exxon,exxon,curated
exxonmobil,exxon,curated
$f. howard walsh, jr. operating co., inc.$,f. howard walsh jr. operating,curated
f1511407,not a company,curated
f1711713,not a company,curated
$fair oil, ltd.$,fair oil,curated
fairmont minerals,fairmount,curated
fairmont santrol,fairmount,curated
fairmount minerals,fairmount,curated
fairmount santol,fairmount,curated
fairmount santrol,fairmount,curated
fairmountsandtrol,fairmount,curated
fairmountsantrol,fairmount,curated
fairmountssantrol,fairmount,curated
fairway,fairway,curated
fairway resources op. llc,fairway,curated
fairway resources operating iii,fairway,curated
fairway resources operating iii llc,fairway,curated
$fairway resources operating iii, llc$,fairway,curated
fairway resources operating llc,fairway,curated
fairways,fairways,curated
$fairways exploration & production, llc$,fairways,curated
$fairways exploration &amp; production, llc$,fairways,curated
falcon,falcon,curated
far west development,far west development,curated
$far west development, llc$,far west development,curated
farimountsantrol,fairmount,curated
$farmer operating, llc$,farmer operating,curated
fasken,fasken,curated
fasken oil,fasken,curated
fasken oil & ranch,fasken,curated
fasken oil & ranch ltd,fasken,curated
fasken oil and ranch,fasken,curated
$fasken oil and ranch, ltd.$,fasken,curated
fatty acid,not a company,curated
fatty acid salt,not a company,curated
faw-4,not a company,curated
fdf,fdf,curated
fdl operating,fdf,curated
fdl operating llc,fdf,curated
$fdl operating, llc$,fdf,curated
fdp-s 1118-13,not a company,curated
fdp-s 1176-15,not a company,curated
fds,fds,curated
felderhoff production co,felderhoff production co,curated
$felix energy holdings ii, llc$,felix energy,curated
felix energy llc,felix energy,curated
felix energy-denver,felix energy,curated
ferrell,ferrell,curated
